                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4758,                  2.982,                 1.1111,                0.72811,                0.61044,                0.66964,                0.36699,                 1.4643,                 1.8655,                 1.0074,               0.070168,              0.0033147,              0.0033147
                      1,                 1.5187,                 1.7404,                 1.1126,                0.78682,                0.59036,                0.71976,                0.39388,                 1.5154,                 1.4716,                 1.1253,               0.040036,              0.0065164,              0.0065164
                      2,                 1.6177,                 1.7332,                 1.1951,                 0.5989,                 0.4498,                0.50999,                0.24681,                 1.6764,                  1.889,                 1.2096,              0.0097723,              0.0095861,              0.0095861
                      3,                 1.8473,                 2.1113,                 1.2676,                0.36424,                0.16867,                0.14804,                 0.0684,                 2.0792,                 3.0938,                 1.5557,               0.009406,               0.009406,               0.009406
                      4,                 1.8808,                 1.9921,                  1.321,                0.59717,                0.42169,                0.47825,                0.22832,                  1.907,                 1.8467,                 1.4023,               0.009406,               0.009406,               0.009406
                      5,                 1.7693,                 1.7125,                 1.2905,                0.43973,                0.36564,                0.27824,                0.13548,                 1.7907,                 2.6419,                 1.3432,               0.009208,               0.009208,               0.009208
                      6,                 1.7606,                 1.6567,                 1.2897,                0.47068,                0.40964,                0.38974,                0.20992,                 1.7892,                 2.2378,                 1.3946,                0.00901,                0.00901,                0.00901
                      7,                 1.7742,                 1.6306,                 1.3015,                0.64528,                0.61847,                0.62998,                0.32862,                 1.6412,                 1.9443,                 1.2593,               0.008812,               0.008812,               0.008812
                      8,                 1.7481,                 1.6055,                 1.2556,                0.77139,                0.61446,                0.73311,                0.37306,                 1.6744,                 1.4215,                 1.2998,               0.008614,               0.008614,               0.008614
                      9,                 1.6329,                 1.4571,                 1.2525,                0.71422,                0.69254,                0.74105,                0.38402,                 1.5981,                 1.4429,                 1.2468,               0.008416,               0.008416,               0.008416
                     10,                 1.6206,                 1.4409,                 1.2448,                0.72497,                0.65863,                0.74144,                0.42908,                 1.5515,                 1.1233,                 1.2179,               0.008218,               0.008218,               0.008218
                     11,                 1.6114,                 1.3043,                 1.2498,                0.79305,                0.66178,                0.73937,                0.39718,                 1.5685,                 1.2244,                 1.2153,                0.00802,                0.00802,                0.00802
                     12,                 1.6311,                 1.3173,                 1.2548,                 0.8233,                0.71105,                0.81354,                0.43858,                 1.5632,                 1.1091,                 1.1975,               0.007822,               0.007822,               0.007822
